OutageID,StartTime,DurationMinutes,Feeder,Cause,AffectedCustomers,EndTime
1,2023-01-01 09:00:00,70,Feeder_1,Planned Maintenance,408,2023-01-01 10:10:00
2,2023-01-01 09:00:00,108,Feeder_3,Tree Contact,197,2023-01-01 10:48:00
3,2023-01-01 11:00:00,107,Feeder_3,Planned Maintenance,197,2023-01-01 12:47:00
4,2023-01-01 13:00:00,354,Feeder_5,Tree Contact,271,2023-01-01 18:54:00
5,2023-01-01 16:00:00,99,Feeder_3,Unknown,61,2023-01-01 17:39:00
6,2023-01-01 16:00:00,459,Feeder_9,Overload,781,2023-01-01 23:39:00
7,2023-01-02 00:00:00,259,Feeder_1,Overload,419,2023-01-02 04:19:00
8,2023-01-02 01:00:00,36,Feeder_4,Weather (Heavy Rain),923,2023-01-02 01:36:00
9,2023-01-02 16:00:00,305,Feeder_10,Tree Contact,84,2023-01-02 21:05:00
10,2023-01-03 05:00:00,286,Feeder_10,Weather (High Wind),1243,2023-01-03 09:46:00
11,2023-01-03 07:00:00,320,Feeder_4,Tree Contact,490,2023-01-03 12:20:00
12,2023-01-03 12:00:00,136,Feeder_1,Overload,203,2023-01-03 14:16:00
13,2023-01-03 12:00:00,142,Feeder_2,Tree Contact,64,2023-01-03 14:22:00
14,2023-01-03 18:00:00,127,Feeder_1,Weather (Heavy Rain),772,2023-01-03 20:07:00
15,2023-01-03 19:00:00,441,Feeder_6,Equipment Failure,457,2023-01-04 02:21:00
16,2023-01-04 05:00:00,287,Feeder_3,Weather (Heavy Rain),1293,2023-01-04 09:47:00
17,2023-01-04 10:00:00,350,Feeder_7,Overload,489,2023-01-04 15:50:00
18,2023-01-04 14:00:00,456,Feeder_5,Tree Contact,408,2023-01-04 21:36:00
19,2023-01-04 17:00:00,144,Feeder_9,Overload,579,2023-01-04 19:24:00
20,2023-01-05 01:00:00,146,Feeder_7,Unknown,467,2023-01-05 03:26:00
21,2023-01-05 09:00:00,99,Feeder_4,Weather (High Wind),1178,2023-01-05 10:39:00
22,2023-01-05 16:00:00,437,Feeder_5,Overload,554,2023-01-05 23:17:00
23,2023-01-05 21:00:00,364,Feeder_5,Weather (High Wind),1421,2023-01-06 03:04:00
24,2023-01-06 05:00:00,404,Feeder_5,Unknown,161,2023-01-06 11:44:00
25,2023-01-06 06:00:00,95,Feeder_10,Tree Contact,339,2023-01-06 07:35:00
26,2023-01-06 06:00:00,339,Feeder_9,Unknown,125,2023-01-06 11:39:00
27,2023-01-06 16:00:00,83,Feeder_10,Equipment Failure,39,2023-01-06 17:23:00
28,2023-01-06 18:00:00,162,Feeder_3,Unknown,332,2023-01-06 20:42:00
29,2023-01-06 21:00:00,462,Feeder_6,Weather (Heavy Rain),469,2023-01-07 04:42:00
30,2023-01-07 01:00:00,30,Feeder_8,Overload,942,2023-01-07 01:30:00
31,2023-01-07 01:00:00,321,Feeder_9,Tree Contact,238,2023-01-07 06:21:00
32,2023-01-07 04:00:00,119,Feeder_7,Unknown,268,2023-01-07 05:59:00
33,2023-01-07 08:00:00,179,Feeder_3,Planned Maintenance,369,2023-01-07 10:59:00
34,2023-01-07 09:00:00,215,Feeder_1,Weather (Heavy Rain),1313,2023-01-07 12:35:00
35,2023-01-07 11:00:00,211,Feeder_4,Equipment Failure,37,2023-01-07 14:31:00
36,2023-01-07 15:00:00,440,Feeder_6,Tree Contact,263,2023-01-07 22:20:00
37,2023-01-07 17:00:00,199,Feeder_3,Overload,279,2023-01-07 20:19:00
38,2023-01-07 17:00:00,336,Feeder_1,Equipment Failure,471,2023-01-07 22:36:00
39,2023-01-07 18:00:00,279,Feeder_6,Weather (Heavy Rain),355,2023-01-07 22:39:00
40,2023-01-07 19:00:00,377,Feeder_1,Unknown,404,2023-01-08 01:17:00
41,2023-01-07 21:00:00,114,Feeder_9,Weather (High Wind),624,2023-01-07 22:54:00
42,2023-01-07 22:00:00,356,Feeder_1,Overload,265,2023-01-08 03:56:00
